period,finclassondischarge,proportion
t0,MW,0.47435201184892617
t0,EW,0.2688718834855591
t0,ES,0.10333251049123673
t0,MA,0.055640582572204396
t0,12,0.03253517649962972
t0,EA,0.013675635645519624
t0,MC,0.013330041964946927
t0,OO,0.009479140952851147
t0,EB,0.005924463095531967
t0,RW,0.003949642063687978
t0,EC,0.00370278943470748
t0,V4,0.0027647494445815846
t0,M4,0.002320414712416687
t0,M3,0.0021229326092322884
t0,EN,0.0014811157738829918
t0,56,0.001431745248086892
t0,W4,0.0009874105159219946
t0,OD,0.0008886694643297951
t0,BD,0.0005924463095531967
t0,RA,0.00044433473216489756
t0,58,0.00029622315477659836
t0,V3,0.00024685262898049864
t0,E3,0.00019748210318439892
t0,SO,0.00019748210318439892
t0,V1,0.00019748210318439892
t0,MB,0.00019748210318439892
t0,M2,0.00014811157738829918
t0,V2,0.00014811157738829918
t0,DC,0.00014811157738829918
t0,V10,9.874105159219946e-05
t0,L3,4.937052579609973e-05
t0,U2,4.937052579609973e-05
t0,W2,4.937052579609973e-05
t0,DO,4.937052579609973e-05
t0,V16,4.937052579609973e-05
t0,R4,4.937052579609973e-05
t1,MW,0.48110932475884244
t1,EW,0.2970257234726688
t1,ES,0.09043408360128617
t1,MA,0.04340836012861737
t1,12,0.028938906752411574
t1,EA,0.01647909967845659
t1,OO,0.011655948553054662
t1,MC,0.00964630225080386
t1,EB,0.0044212218649517685
t1,EC,0.003617363344051447
t1,M4,0.003215434083601286
t1,V4,0.0020096463022508037
t1,EN,0.001607717041800643
t1,56,0.001607717041800643
t1,RW,0.0012057877813504824
t1,M3,0.0012057877813504824
t1,RA,0.0008038585209003215
t1,OD,0.0008038585209003215
t1,SO,0.00040192926045016077
t1,L1,0.00040192926045016077
t2,MW,0.5420366008334844
t2,EW,0.2878238811378873
t2,ES,0.07601014676571843
t2,MA,0.021743069396629823
t2,12,0.02047472368182642
t2,EA,0.016397898169958326
t2,MC,0.009240804493567675
t2,OO,0.00679470918644682
t2,V4,0.0034426526544663887
t2,EC,0.003261460409494474
t2,EB,0.002717883674578728
t2,M4,0.0023554991846348977
t2,EN,0.001993114694691067
t2,M3,0.0011777495923174488
t2,RW,0.0010871534698314912
t2,W4,0.0007247689798876608
t2,OD,0.0005435767349157456
t2,SO,0.0005435767349157456
t2,56,0.0002717883674578728
t2,L3,0.0002717883674578728
t2,58,0.0001811922449719152
t2,L1,0.0001811922449719152
t2,BD,9.05961224859576e-05
t2,DC,9.05961224859576e-05
t2,E3,9.05961224859576e-05
t2,V1,9.05961224859576e-05
t2,MB,9.05961224859576e-05
t2,V10,9.05961224859576e-05
t2,L4,9.05961224859576e-05
t2,E4,9.05961224859576e-05
t3,MW,0.4566187946909293
t3,EW,0.2747456171129206
t3,ES,0.09456630893758092
t3,12,0.053986037676495145
t3,MA,0.049497283759422146
t3,EA,0.019092327981512624
t3,MC,0.011651401676930708
t3,OO,0.007707105782144196
t3,EB,0.0072836384314769334
t3,RW,0.004416159514101463
t3,EC,0.0043072679096441665
t3,56,0.0029158751860231574
t3,V4,0.0021536339548220832
t3,M3,0.0018874544772598033
t3,EN,0.0012946001863256343
t3,M4,0.0009074300371441362
t3,OD,0.0008832319028202925
t3,58,0.0007864393655249181
t3,E3,0.0007017458953914653
t3,W4,0.0006291514924199345
t3,RA,0.0005323589551245599
t3,FA,0.0004234673506672636
t3,BD,0.00033877388053381085
t3,L1,0.00033877388053381085
t3,SO,0.0003024766790480454
t3,FB,0.00024198134323843632
t3,MN,0.00020568414175267086
t3,V2,0.00014518880594306178
t3,V3,0.00013308973878113997
t3,TO,0.00012099067161921816
t3,MB,0.00010889160445729635
t3,DC,9.679253729537452e-05
t3,W2,8.469347013345271e-05
t3,L3,7.259440297153089e-05
t3,RC,7.259440297153089e-05
t3,V10,7.259440297153089e-05
t3,M2,7.259440297153089e-05
t3,E4,6.049533580960908e-05
t3,32,6.049533580960908e-05
t3,23,6.049533580960908e-05
t3,V8,4.839626864768726e-05
t3,E2,4.839626864768726e-05
t3,PO,3.6297201485765445e-05
t3,U2,3.6297201485765445e-05
t3,FM,3.6297201485765445e-05
t3,24,2.419813432384363e-05
t3,NO,2.419813432384363e-05
t3,FD,2.419813432384363e-05
t3,FG,2.419813432384363e-05
t3,V6,1.2099067161921815e-05
t3,VO,1.2099067161921815e-05
t3,FH,1.2099067161921815e-05
t3,V1,1.2099067161921815e-05
t3,TD,1.2099067161921815e-05
t3,R3,1.2099067161921815e-05
t3,OA,1.2099067161921815e-05
t3,L5,1.2099067161921815e-05
t3,FQ,1.2099067161921815e-05
t3,R2,1.2099067161921815e-05
