period,lhd_of_usual_residence,proportion
t0,Northern Sydney LHD,0.8043338763018906
t0,Western Sydney LHD,0.07670664889678662
t0,Central Coast LHD,0.05044671504022903
t0,Hunter New England LHD,0.015598005824571796
t0,Sydney LHD,0.01342613159583395
t0,South Western Sydney LHD,0.008095167579841057
t0,South Eastern Sydney LHD,0.007206673577175577
t0,Western NSW LHD,0.00409694456784639
t0,Nepean Blue Mountains LHD,0.0033071721210326276
t0,Mid North Coast LHD,0.0028135643417740263
t0,Queensland,0.0026161212300705857
t0,Illawarra Shoalhaven LHD,0.0024186781183671456
t0,Victoria,0.0016782664494792438
t0,Northern NSW LHD,0.0014314625598499432
t0,Southern NSW LHD,0.0014314625598499432
t0,Murrumbidgee LHD,0.0010365763364430624
t0,NSW Not Further Defined,0.0009378547805913421
t0,Australian Capital Territory,0.000888494002665482
t0,Western Australia,0.0006910508909620416
t0,South Australia,0.00024680388962930054
t0,Tasmania,0.00019744311170344044
t0,Northern Territory,0.00019744311170344044
t0,Overseas Locality,0.00019744311170344044
t1,Northern Sydney LHD,0.807475884244373
t1,Western Sydney LHD,0.08038585209003216
t1,Central Coast LHD,0.05908360128617363
t1,Sydney LHD,0.011254019292604502
t1,Hunter New England LHD,0.011254019292604502
t1,South Western Sydney LHD,0.007234726688102894
t1,Nepean Blue Mountains LHD,0.003617363344051447
t1,South Eastern Sydney LHD,0.003617363344051447
t1,Murrumbidgee LHD,0.0020096463022508037
t1,Western NSW LHD,0.0020096463022508037
t1,NSW Not Further Defined,0.0020096463022508037
t1,Australian Capital Territory,0.001607717041800643
t1,Queensland,0.001607717041800643
t1,Mid North Coast LHD,0.001607717041800643
t1,Illawarra Shoalhaven LHD,0.001607717041800643
t1,Victoria,0.0012057877813504824
t1,Northern NSW LHD,0.0008038585209003215
t1,Southern NSW LHD,0.0008038585209003215
t1,Tasmania,0.00040192926045016077
t1,South Australia,0.00040192926045016077
t2,Northern Sydney LHD,0.773509693785106
t2,Western Sydney LHD,0.0976626200398623
t2,Central Coast LHD,0.05290813553179924
t2,NSW Not Further Defined,0.015944917557528537
t2,Sydney LHD,0.012230476535604277
t2,Hunter New England LHD,0.011958688168146403
t2,South Western Sydney LHD,0.009784381228483421
t2,South Eastern Sydney LHD,0.005526363471643414
t2,Nepean Blue Mountains LHD,0.004892190614241711
t2,Western NSW LHD,0.004620402246783837
t2,Illawarra Shoalhaven LHD,0.0028084797970646855
t2,Mid North Coast LHD,0.0024460953071208553
t2,Southern NSW LHD,0.0011777495923174488
t2,Queensland,0.0010871534698314912
t2,Northern NSW LHD,0.0009965573473455335
t2,Australian Capital Territory,0.0007247689798876608
t2,Murrumbidgee LHD,0.0006341728574017033
t2,Victoria,0.000452980612429788
t2,Western Australia,0.0003623844899438304
t2,Tasmania,0.0001811922449719152
t2,South Australia,9.05961224859576e-05
t3,Northern Sydney LHD,0.8347314219407242
t3,Western Sydney LHD,0.0644369772276749
t3,Central Coast LHD,0.04172508823671615
t3,Sydney LHD,0.010963109800319103
t3,Hunter New England LHD,0.010842237586423633
t3,South Eastern Sydney LHD,0.0056568196103079825
t3,South Western Sydney LHD,0.005632645167528889
t3,Mid North Coast LHD,0.0051854179761156504
t3,Western NSW LHD,0.0038799980660445777
t3,Nepean Blue Mountains LHD,0.0035536430885268096
t3,Queensland,0.0023086592854034715
t3,Northern NSW LHD,0.0019339554223275154
t3,Illawarra Shoalhaven LHD,0.0018493448726006865
t3,Victoria,0.0017405598800947638
t3,NSW Not Further Defined,0.001257071024512885
t3,Southern NSW LHD,0.001232896581733791
t3,Murrumbidgee LHD,0.0009790649325533047
t3,Australian Capital Territory,0.0007010588405937244
t3,Western Australia,0.0004955760769714258
t3,Tasmania,0.0003384421989073152
t3,South Australia,0.00032635497751776823
t3,Overseas Locality,0.00013295943528501668
t3,Northern Territory,7.252332833728183e-05
t3,Far West LHD,2.417444277909394e-05
